id,month,test_score,treatment,income,parent_edu,school_funding,class_size,teacher_experience
1,1,82.3390032290623,0,26849.5271311087,15.1551038105261,5035.76130157599,28,0
1,2,80.7478686376487,0,29099.2172315286,15.1551038105261,4599.65412884423,20,5
1,3,83.2270543362564,0,28905.4216103482,15.1551038105261,5324.55387488859,29,3
1,4,75.2983168774236,0,29442.9673350385,15.1551038105261,6279.92045179196,27,1
1,5,83.5932247349006,0,33317.2026333722,15.1551038105261,5623.7683979428,30,7
1,6,101.448143084023,0,34542.1626050675,15.1551038105261,6166.15225756568,21,8
1,7,90.2902495666955,0,33719.0156630928,15.1551038105261,6200.93402506647,21,6
1,8,92.8010795010133,0,35584.6080763101,15.1551038105261,6257.27696765117,24,6
1,9,101.83035175122,0,35830.3784794848,15.1551038105261,7459.61484859986,24,7
1,10,97.1454334347671,0,38388.4643411884,15.1551038105261,6073.24268982453,26,9
1,11,117.056307979335,0,39150.0451632128,15.1551038105261,7189.57746442678,24,11
1,12,103.367680199588,0,39417.9490530348,15.1551038105261,7314.49121594749,24,13
1,13,97.830395443472,0,40620.8779998773,15.1551038105261,8316.77578379192,21,13
1,14,103.371379331937,0,41440.7003901246,15.1551038105261,7770.37393032505,27,12
1,15,106.611608505164,0,44046.8418855247,15.1551038105261,8517.25772585468,29,14
2,1,74.9258977601131,1,26854.0558751806,13.8687163870116,5318.2243433282,24,0
2,2,74.791195876094,1,27437.5798575471,13.8687163870116,4981.88776236357,23,1
2,3,87.3379769969566,1,26996.27320148,13.8687163870116,5789.98504558271,26,3
2,4,80.2877558828545,1,26831.0512064255,13.8687163870116,5247.69984893124,23,4
2,5,87.4143328415035,1,29926.15443358,13.8687163870116,5406.400116854,24,5
2,6,92.1464219019177,1,29996.2777587959,13.8687163870116,6806.91129442535,21,8
2,7,102.280449420212,1,30912.0022919835,13.8687163870116,6505.68957347285,23,9
2,8,93.5487760718791,1,32761.5805625931,13.8687163870116,5807.71449487655,29,7
2,9,97.6739978205637,1,31613.9946790829,13.8687163870116,6493.96345338538,23,6
2,10,98.5718293255984,1,34429.5837749343,13.8687163870116,7304.19731530255,27,6
2,11,97.0629051798549,1,33650.4348898011,13.8687163870116,7339.2292633502,20,11
2,12,105.415596346414,1,34128.4964990227,13.8687163870116,7177.73038666935,28,8
2,13,115.599703998958,1,35413.9961127259,13.8687163870116,7126.66036891665,22,16
2,14,108.995402935962,1,36787.8199211511,13.8687163870116,7666.11036591341,19,14
2,15,116.273413781544,1,36968.6424828173,13.8687163870116,8453.42269038135,24,11
3,1,79.9217142007101,0,27250.4490573641,13.3008611694266,4916.59206416272,21,1
3,2,88.3684753839839,0,28771.6261500608,13.3008611694266,5880.39227608821,25,7
3,3,83.6649704984248,0,27413.6134786532,13.3008611694266,5926.65521078292,24,2
3,4,88.2169681785627,0,30349.3270488584,13.3008611694266,5669.98918933934,32,5
3,5,84.6550626738968,0,32216.0990992095,13.3008611694266,5089.60878810399,26,5
3,6,87.2584900038329,0,32493.167258078,13.3008611694266,5787.2828098189,28,8
3,7,98.6422331457987,0,34253.0489058109,13.3008611694266,6726.4403984212,28,5
3,8,95.613145099333,0,34952.9977684638,13.3008611694266,7508.06131208701,25,10
3,9,97.9629376635364,0,36014.9562317845,13.3008611694266,7215.62242998399,24,8
3,10,93.2308423906577,0,36927.6485813941,13.3008611694266,6506.54452168125,19,11
