test_score,treatment,income,parent_edu,school_funding,class_size,teacher_experience
49.24913720592422,1,20229,14,4197,33,1
71.08646881694108,1,38976,12,13112,33,5
73.7079849775248,0,32547,11,11559,22,19
67.41474449985495,1,16443,15,2435,24,17
63.14722808808237,0,24793,16,8625,17,3
92.42413245889547,1,44863,16,8788,21,9
57.034976631694526,0,8160,9,1941,18,15
53.80919671157767,0,26140,10,5006,27,14
53.23426124593891,0,41393,7,10399,22,2
72.89909042558263,0,22199,11,3470,19,14
81.21707323677042,1,23890,13,8551,23,8
69.41156169704144,0,29148,12,10129,19,19
93.07662875877388,1,43423,18,11299,27,11
80.11493710635894,1,24250,11,8214,26,14
68.04041526569407,0,26004,9,8454,23,11
95.77295988864044,0,26091,14,7506,21,16
75.77805775676994,1,49853,12,20351,18,7
71.87404695566758,1,49681,14,12802,28,16
100.13571294750311,1,39036,13,11747,26,19
85.77911391844843,0,33476,13,9087,27,23
67.11026951387294,0,36636,6,10061,23,22
100.6981855435912,1,43417,10,13424,24,9
60.49401979617357,1,21577,10,5737,32,15
35.56996567199009,1,40582,11,10024,22,17
64.6598020985472,0,18715,11,5925,23,16
63.129084388439715,0,24260,13,10234,29,17
83.60309118606824,1,38164,14,13806,27,15
75.42971448632423,0,17142,9,5650,15,9
14.20191169340761,0,28739,14,6783,17,13
31.800815356799788,0,22244,14,7139,22,17
74.91745167907693,0,27699,13,11021,30,15
42.944502905854364,0,4813,8,4422,28,5
49.32866235397791,0,14056,13,5116,28,7
73.5175225184905,0,23701,12,6199,28,10
94.24210594542717,1,38347,15,10997,20,11
84.2867968929499,1,28437,17,10461,28,13
82.05401922122851,0,30026,17,10724,20,6
80.17123491449645,1,36194,12,6464,30,17
56.5223767469585,1,22084,12,8272,22,1
88.08094363839572,0,32553,14,11544,26,15
89.68922227969767,0,22752,9,4608,16,15
83.90465390123916,1,14451,8,2423,18,16
61.07333949910776,0,26482,11,6052,30,0
79.27261824917684,1,35164,16,8849,28,4
81.47407698979063,1,33047,11,6372,19,10
70.57893193005441,0,29894,17,9751,31,13
88.73733394645485,1,51531,4,13495,20,12
10.595141888986205,0,33716,7,9939,25,7
73.31888063242116,1,38809,12,10399,23,20
36.754075715981145,1,50143,15,15681,20,14
69.10398758396111,0,18353,12,2979,31,10
75.60699201102261,1,20651,12,6808,33,6
71.59815110880524,1,45693,12,14682,26,12
73.77367687055636,0,22817,7,8914,33,20
82.67745015991355,1,30267,15,14000,24,12
80.06469782781556,1,39624,10,6657,26,12
86.95881113080286,1,38016,15,12206,26,12
61.83361043717549,1,45794,12,11965,19,13
95.98033114921465,1,43461,15,8226,27,11
60.940839479375924,1,39625,13,13991,29,6
89.93510144583941,1,23046,12,10244,24,21
73.68562400113898,1,37154,13,10167,17,16
94.54936677428068,1,32828,8,10376,27,25
78.41646363540399,1,18064,12,5259,17,15
100.48722614467702,0,42756,17,13912,21,11
77.96748040333905,1,37265,16,13381,26,6
47.51637614835691,0,30409,9,9985,21,10
58.981629839993495,0,27902,14,9235,26,5
84.5861502983037,1,19215,13,8914,24,25
93.06098209774426,1,31796,14,9127,17,12
73.75691062805367,1,34216,12,12572,26,17
87.9723007604224,1,22520,11,4701,28,18
94.47032207784389,1,40460,16,16156,30,18
64.65304586963394,1,20125,13,7882,23,27
67.0326266852913,0,10892,16,2258,25,11
80.47879294759112,1,39358,15,6521,18,11
80.31511427261303,1,26370,11,7910,35,13
16.375164019693585,1,28866,11,5705,33,16
85.18349875749755,1,22462,18,7488,25,13
62.16010589559907,0,15546,13,8292,24,10
97.3378062966783,0,41297,10,12789,15,8
46.942007384632895,0,23800,8,6695,30,7
99.16279902511916,1,44949,15,14340,28,14
74.18707691039707,0,37266,12,11894,29,6
48.71866382098197,0,27167,10,2243,23,1
69.97304203954934,0,20227,14,6670,23,13
70.58205932276573,1,23408,12,8573,19,19
79.64891257038022,0,19087,7,5078,29,16
103.16446656102703,0,48784,14,17082,31,12
57.25285860674258,0,31480,16,9125,31,14
87.48816758803856,1,40352,20,14023,26,2
72.73757939299655,0,18594,12,11261,23,8
104.13538137364287,1,31629,13,9248,20,22
104.07437981372526,0,40601,17,7325,21,19
98.04014247707349,1,26985,13,7254,27,8
93.41019272716244,1,39280,13,7469,24,23
77.8294527050791,1,20239,10,7600,33,8
41.71792023717239,0,17729,8,8592,31,7
98.0815323483373,0,33415,15,11764,22,21
15.450112981969355,1,26587,8,8777,19,20
84.65506668175955,1,35778,15,9121,22,8
69.9299424590837,0,12199,10,7599,30,12
93.5081387506729,0,36410,13,12806,22,10
86.03011528122039,0,53385,11,16727,28,15
116.96331191887924,0,29778,16,9446,22,21
91.22626140864278,0,30307,13,9371,27,15
76.0864996563982,0,31616,18,10615,28,11
25.2257414484873,0,13242,9,2439,30,4
81.51915405218631,0,33835,13,13964,32,17
51.80863013926535,0,15551,12,5046,32,5
65.95870050162291,0,26151,13,9345,22,11
90.69350071523515,1,41186,17,11272,24,18
84.9728656801631,1,23383,14,7952,19,17
